timestamp,open,high,low,close,basevolume,usdtvolume,source_zip,datetime_utc
1767314100,4351.86,4352.38,4351.86,4352.38,0.02,87.0476,20260102.zip,2026-01-02 00:35:00+00:00
1767314280,4352.38,4353.66,4352.38,4353.66,0.47,2045.7508,20260102.zip,2026-01-02 00:38:00+00:00
1767314460,4353.66,4353.66,4352.38,4353.48,0.22,957.6446,20260102.zip,2026-01-02 00:41:00+00:00
1767314520,4353.48,4353.83,4352.79,4352.85,1.04,4527.643,20260102.zip,2026-01-02 00:42:00+00:00
1767314640,4352.85,4353.83,4352.85,4353.83,0.07,304.7664,20260102.zip,2026-01-02 00:44:00+00:00
1767314700,4353.83,4353.83,4353.83,4353.83,0.08,348.3064,20260102.zip,2026-01-02 00:45:00+00:00
1767314760,4353.83,4356.48,4353.83,4356.48,1.11,4834.1277,20260102.zip,2026-01-02 00:46:00+00:00
1767314820,4356.48,4357.41,4356.47,4357.41,0.5,2178.5226,20260102.zip,2026-01-02 00:47:00+00:00
1767314880,4357.41,4359.13,4357.41,4357.41,0.57,2483.8967,20260102.zip,2026-01-02 00:48:00+00:00
1767315180,4357.41,4358.13,4353.26,4356.55,3.26,14197.4431,20260102.zip,2026-01-02 00:53:00+00:00
1767315240,4356.55,4356.55,4356.41,4356.48,0.22,958.4209,20260102.zip,2026-01-02 00:54:00+00:00
1767315300,4356.48,4360.26,4355.42,4355.42,2.13,9282.9216,20260102.zip,2026-01-02 00:55:00+00:00
1767315360,4355.42,4356.76,4355.42,4356.76,0.05,217.838,20260102.zip,2026-01-02 00:56:00+00:00
1767315420,4356.76,4362.15,4356.76,4362.09,0.86,3750.9627,20260102.zip,2026-01-02 00:57:00+00:00
1767315480,4362.09,4362.09,4359.88,4361.71,0.65,2834.5953,20260102.zip,2026-01-02 00:58:00+00:00
1767315540,4361.71,4362.17,4359.89,4362.17,0.24,1046.5578,20260102.zip,2026-01-02 00:59:00+00:00
1767315660,4362.17,4362.81,4361.87,4361.88,0.24,1046.8969,20260102.zip,2026-01-02 01:01:00+00:00
1767315720,4361.88,4362.8,4361.88,4362.8,0.21,916.1861,20260102.zip,2026-01-02 01:02:00+00:00
1767315780,4362.8,4362.8,4360.68,4360.68,0.2,872.136,20260102.zip,2026-01-02 01:03:00+00:00
1767315840,4360.68,4360.68,4357.85,4358.42,0.56,2440.7617,20260102.zip,2026-01-02 01:04:00+00:00
1767315900,4358.42,4358.98,4358.42,4358.98,0.45,1961.5214,20260102.zip,2026-01-02 01:05:00+00:00
1767316020,4358.98,4360.34,4358.25,4358.25,0.19,828.2138,20260102.zip,2026-01-02 01:07:00+00:00
1767316080,4358.25,4358.25,4357.51,4357.51,0.21,915.0771,20260102.zip,2026-01-02 01:08:00+00:00
