venue,product_type,symbol,hour_utc,bars,close,total_usdt_volume,total_base_volume,total_quote_volume
futures,USDT-FUTURES,BTCUSDT,2026-01-04 21:00:00+00:00,60,91249.6,53744465.98949,588.7787,53744465.98949
futures,USDT-FUTURES,BTCUSDT,2026-01-04 22:00:00+00:00,60,91177.3,39612985.84931,434.3113,39612985.84931
futures,USDT-FUTURES,BTCUSDT,2026-01-04 23:00:00+00:00,59,91495.1,79602863.57918,871.0812,79602863.57918
futures,USDT-FUTURES,BTCUSDT,2026-01-05 00:00:00+00:00,60,92356.5,430997134.25711,4687.7471,430997134.25711
futures,USDT-FUTURES,BTCUSDT,2026-01-05 01:00:00+00:00,60,92916.2,588588069.4318401,6336.974,588588069.4318401
futures,USDT-FUTURES,BTCUSDT,2026-01-05 02:00:00+00:00,60,92991.8,150435581.88632,1619.6188,150435581.88632
futures,USDT-FUTURES,BTCUSDT,2026-01-05 03:00:00+00:00,59,92829.9,101662866.22007,1093.3421,101662866.22007
futures,USDT-FUTURES,BTCUSDT,2026-01-05 04:00:00+00:00,60,92565.5,152790145.00559,1650.8569,152790145.00559
futures,USDT-FUTURES,BTCUSDT,2026-01-05 05:00:00+00:00,60,92325.6,70926332.71058,766.5929,70926332.71058
futures,USDT-FUTURES,BTCUSDT,2026-01-05 06:00:00+00:00,59,92453.7,93684774.37148,1014.74,93684774.37148
futures,USDT-FUTURES,BTCUSDT,2026-01-05 07:00:00+00:00,60,92485.8,48350278.866679996,522.5508,48350278.866679996
futures,USDT-FUTURES,BTCUSDT,2026-01-05 08:00:00+00:00,60,92438.3,75669525.53032,817.3927,75669525.53032
futures,USDT-FUTURES,BTCUSDT,2026-01-05 09:00:00+00:00,59,92657.2,96606321.63258,1043.5806,96606321.63258
futures,USDT-FUTURES,BTCUSDT,2026-01-05 10:00:00+00:00,60,93044.2,162514479.2738,1749.6553,162514479.2738
futures,USDT-FUTURES,BTCUSDT,2026-01-05 11:00:00+00:00,60,93089.4,105321517.88227,1132.632,105321517.88227
futures,USDT-FUTURES,BTCUSDT,2026-01-05 12:00:00+00:00,60,92840.9,106445805.44777,1145.5941,106445805.44777
futures,USDT-FUTURES,BTCUSDT,2026-01-05 13:00:00+00:00,59,92707.6,119950467.89266,1294.3297,119950467.89266
futures,USDT-FUTURES,BTCUSDT,2026-01-05 14:00:00+00:00,60,93383.8,427587111.53328,4592.5685,427587111.53328
futures,USDT-FUTURES,BTCUSDT,2026-01-05 15:00:00+00:00,60,93883.4,425567072.18149,4547.2512,425567072.18149
futures,USDT-FUTURES,BTCUSDT,2026-01-05 16:00:00+00:00,59,93635.7,250111511.16257,2667.0835,250111511.16257
futures,USDT-FUTURES,BTCUSDT,2026-01-05 17:00:00+00:00,60,94255.2,380445748.76697,4053.0348,380445748.76697
futures,USDT-FUTURES,BTCUSDT,2026-01-05 18:00:00+00:00,60,94389.6,231254812.85866,2456.9933,231254812.85866
futures,USDT-FUTURES,BTCUSDT,2026-01-05 19:00:00+00:00,59,94238.1,108149465.26584,1147.4767,108149465.26584
futures,USDT-FUTURES,BTCUSDT,2026-01-05 20:00:00+00:00,60,94125.0,252796497.21743,2678.2235,252796497.21743
futures,USDT-FUTURES,BTCUSDT,2026-01-05 21:00:00+00:00,60,94033.0,92176904.57424,980.8253,92176904.57424
futures,USDT-FUTURES,BTCUSDT,2026-01-05 22:00:00+00:00,60,94117.3,65734321.106920004,697.9858,65734321.106920004
futures,USDT-FUTURES,BTCUSDT,2026-01-05 23:00:00+00:00,59,93822.9,57840563.45144,615.6913,57840563.45144
futures,USDT-FUTURES,BTCUSDT,2026-01-06 00:00:00+00:00,60,93764.0,110152337.82217,1176.0803,110152337.82217
futures,USDT-FUTURES,BTCUSDT,2026-01-06 01:00:00+00:00,60,93732.0,103027587.39661,1097.2615,103027587.39661
futures,USDT-FUTURES,BTCUSDT,2026-01-06 02:00:00+00:00,59,93578.4,57425182.91482,613.5076,57425182.91482
futures,USDT-FUTURES,BTCUSDT,2026-01-06 03:00:00+00:00,60,93722.7,52790029.587740004,563.1742,52790029.587740004
futures,USDT-FUTURES,BTCUSDT,2026-01-06 04:00:00+00:00,60,93763.5,58285562.81003,621.0069,58285562.81003
futures,USDT-FUTURES,BTCUSDT,2026-01-06 05:00:00+00:00,60,93559.0,49342256.32564,526.9721,49342256.32564
futures,USDT-FUTURES,BTCUSDT,2026-01-06 06:00:00+00:00,1,93585.7,4535351.28931,48.5004,4535351.28931
futures,USDT-FUTURES,XAUUSDT,2025-12-31 06:00:00+00:00,59,4332.0,977447.4673,226.43,977447.4673
futures,USDT-FUTURES,XAUUSDT,2025-12-31 07:00:00+00:00,60,4335.55,327210.6232,75.52,327210.6232
futures,USDT-FUTURES,XAUUSDT,2025-12-31 08:00:00+00:00,60,4318.23,159394.6157,36.79,159394.6157
futures,USDT-FUTURES,XAUUSDT,2025-12-31 09:00:00+00:00,59,4338.14,157168.8083,36.27,157168.8083
futures,USDT-FUTURES,XAUUSDT,2025-12-31 10:00:00+00:00,60,4319.67,209392.16939999998,48.37,209392.16939999998
futures,USDT-FUTURES,XAUUSDT,2025-12-31 11:00:00+00:00,60,4321.0,72553.83129999999,16.78,72553.83129999999
futures,USDT-FUTURES,XAUUSDT,2025-12-31 12:00:00+00:00,59,4322.02,95735.6616,22.15,95735.6616
futures,USDT-FUTURES,XAUUSDT,2025-12-31 13:00:00+00:00,60,4348.1,160703.0302,37.03,160703.0302
futures,USDT-FUTURES,XAUUSDT,2025-12-31 14:00:00+00:00,60,4356.67,322222.7027,74.13000000000001,322222.7027
futures,USDT-FUTURES,XAUUSDT,2025-12-31 15:00:00+00:00,60,4346.01,106753.5652,24.580000000000002,106753.5652
futures,USDT-FUTURES,XAUUSDT,2025-12-31 16:00:00+00:00,59,4328.91,82536.5905,19.04,82536.5905
futures,USDT-FUTURES,XAUUSDT,2025-12-31 17:00:00+00:00,60,4331.96,118136.5669,27.25,118136.5669
