,timestamp,open,high,low,close,datetime
8560,1771989660000000000,5181.61,5182.1,5179.92,5180.2,2026-02-25T03:21:00.000000Z
8561,1771989720000000000,5180.2,5180.78,5179.3,5179.3,2026-02-25T03:22:00.000000Z
8562,1771989780000000000,5179.3,5179.76,5178.03,5178.61,2026-02-25T03:23:00.000000Z
8563,1771989840000000000,5178.61,5178.61,5175.98,5177.33,2026-02-25T03:24:00.000000Z
8564,1771989900000000000,5177.33,5180.3,5177.04,5180.3,2026-02-25T03:25:00.000000Z
8565,1771989960000000000,5180.3,5181.1,5179.63,5181.1,2026-02-25T03:26:00.000000Z
8566,1771990020000000000,5181.1,5182.86,5180.97,5182.44,2026-02-25T03:27:00.000000Z
8567,1771990080000000000,5182.44,5182.59,5182.01,5182.59,2026-02-25T03:28:00.000000Z
8568,1771990140000000000,5182.59,5184.44,5182.59,5184.44,2026-02-25T03:29:00.000000Z
8569,1771990200000000000,5184.44,5184.44,5183.2,5184.44,2026-02-25T03:30:00.000000Z
8570,1771990260000000000,5184.44,5186.38,5184.44,5185.0,2026-02-25T03:31:00.000000Z
8571,1771990320000000000,5185.0,5185.0,5184.26,5184.26,2026-02-25T03:32:00.000000Z
8572,1771990380000000000,5184.26,5184.26,5181.68,5182.16,2026-02-25T03:33:00.000000Z
8573,1771990440000000000,5182.16,5185.29,5177.9,5185.29,2026-02-25T03:34:00.000000Z
8574,1771990500000000000,5185.29,5185.7,5184.6,5184.78,2026-02-25T03:35:00.000000Z
8575,1771990560000000000,5184.78,5185.18,5183.52,5183.52,2026-02-25T03:36:00.000000Z
8576,1771990620000000000,5183.52,5183.88,5183.31,5183.5,2026-02-25T03:37:00.000000Z
8577,1771990680000000000,5183.5,5183.5,5183.11,5183.11,2026-02-25T03:38:00.000000Z
8578,1771990740000000000,5183.11,5183.11,5181.87,5182.03,2026-02-25T03:39:00.000000Z
8579,1771990800000000000,5182.03,5182.23,5179.0,5179.0,2026-02-25T03:40:00.000000Z
8580,1771990860000000000,5179.0,5179.33,5178.41,5179.33,2026-02-25T03:41:00.000000Z
8581,1771990920000000000,5179.33,5182.64,5179.32,5182.64,2026-02-25T03:42:00.000000Z
8582,1771990980000000000,5182.64,5182.64,5181.2,5182.4,2026-02-25T03:43:00.000000Z
8583,1771991040000000000,5182.4,5182.78,5182.4,5182.48,2026-02-25T03:44:00.000000Z
8584,1771991100000000000,5182.48,5182.78,5181.74,5181.74,2026-02-25T03:45:00.000000Z
8585,1771991160000000000,5181.74,5185.18,5181.74,5185.11,2026-02-25T03:46:00.000000Z
8586,1771991220000000000,5185.11,5185.81,5184.81,5184.81,2026-02-25T03:47:00.000000Z
8587,1771991280000000000,5184.81,5184.92,5183.83,5183.83,2026-02-25T03:48:00.000000Z
8588,1771991340000000000,5183.83,5183.93,5183.05,5183.57,2026-02-25T03:49:00.000000Z
8589,1771991400000000000,5183.57,5183.73,5183.05,5183.05,2026-02-25T03:50:00.000000Z
8590,1771991460000000000,5183.05,5183.1,5181.57,5183.1,2026-02-25T03:51:00.000000Z
8591,1771991520000000000,5183.1,5183.49,5182.0,5182.0,2026-02-25T03:52:00.000000Z
8592,1771991580000000000,5182.0,5182.0,5180.26,5180.49,2026-02-25T03:53:00.000000Z
8593,1771991640000000000,5180.49,5180.49,5178.29,5178.29,2026-02-25T03:54:00.000000Z
8594,1771991700000000000,5178.29,5179.45,5177.3,5178.9,2026-02-25T03:55:00.000000Z
8595,1771991760000000000,5178.9,5180.86,5178.9,5180.86,2026-02-25T03:56:00.000000Z
8596,1771991820000000000,5180.86,5181.8,5180.86,5181.63,2026-02-25T03:57:00.000000Z
8597,1771991880000000000,5181.63,5181.63,5181.04,5181.04,2026-02-25T03:58:00.000000Z
8598,1771991940000000000,5181.04,5182.3,5181.04,5181.42,2026-02-25T03:59:00.000000Z
8599,1771992000000000000,5181.42,5182.77,5180.62,5182.77,2026-02-25T04:00:00.000000Z
8200,1771992060000000000,5182.77,5182.77,5180.0,5180.0,2026-02-25T04:01:00.000000Z
8201,1771992120000000000,5180.0,5180.86,5179.19,5179.79,2026-02-25T04:02:00.000000Z
8202,1771992180000000000,5179.79,5180.87,5179.79,5180.87,2026-02-25T04:03:00.000000Z
8203,1771992240000000000,5180.87,5181.92,5180.72,5181.92,2026-02-25T04:04:00.000000Z
8204,1771992300000000000,5181.92,5181.92,5180.19,5180.19,2026-02-25T04:05:00.000000Z
8205,1771992360000000000,5180.19,5181.2,5178.72,5178.72,2026-02-25T04:06:00.000000Z
8206,1771992420000000000,5178.72,5179.45,5177.75,5177.78,2026-02-25T04:07:00.000000Z
8207,1771992480000000000,5177.78,5177.78,5175.0,5175.0,2026-02-25T04:08:00.000000Z
8208,1771992540000000000,5175.0,5176.31,5175.0,5175.0,2026-02-25T04:09:00.000000Z
8209,1771992600000000000,5175.0,5175.98,5172.11,5175.98,2026-02-25T04:10:00.000000Z
8210,1771992660000000000,5175.98,5178.78,5175.58,5178.51,2026-02-25T04:11:00.000000Z
8211,1771992720000000000,5178.51,5180.65,5178.51,5180.1,2026-02-25T04:12:00.000000Z
8212,1771992780000000000,5180.1,5180.59,5179.89,5180.59,2026-02-25T04:13:00.000000Z
8213,1771992840000000000,5180.59,5183.18,5179.94,5181.7,2026-02-25T04:14:00.000000Z
8214,1771992900000000000,5181.7,5181.8,5181.43,5181.8,2026-02-25T04:15:00.000000Z
8215,1771992960000000000,5181.8,5181.8,5181.64,5181.64,2026-02-25T04:16:00.000000Z
8216,1771993020000000000,5181.64,5182.28,5181.64,5182.28,2026-02-25T04:17:00.000000Z
8217,1771993080000000000,5182.28,5184.77,5182.28,5184.77,2026-02-25T04:18:00.000000Z
8218,1771993140000000000,5184.77,5184.77,5182.94,5183.48,2026-02-25T04:19:00.000000Z
8219,1771993200000000000,5183.48,5184.88,5182.71,5183.92,2026-02-25T04:20:00.000000Z
8220,1771993260000000000,5183.92,5184.88,5183.92,5183.93,2026-02-25T04:21:00.000000Z
8221,1771993320000000000,5183.93,5183.93,5182.32,5182.83,2026-02-25T04:22:00.000000Z
8222,1771993380000000000,5182.83,5182.83,5181.58,5181.58,2026-02-25T04:23:00.000000Z
8223,1771993440000000000,5181.58,5182.69,5181.58,5182.6,2026-02-25T04:24:00.000000Z
8224,1771993500000000000,5182.6,5182.9,5182.6,5182.9,2026-02-25T04:25:00.000000Z
8225,1771993560000000000,5182.9,5184.47,5182.65,5184.47,2026-02-25T04:26:00.000000Z
8226,1771993620000000000,5184.47,5184.88,5184.2,5184.2,2026-02-25T04:27:00.000000Z
8227,1771993680000000000,5184.2,5184.89,5183.86,5184.89,2026-02-25T04:28:00.000000Z
8228,1771993740000000000,5184.89,5184.89,5183.71,5183.71,2026-02-25T04:29:00.000000Z
