timestamp_ms,open,high,low,close,base_volume,usdt_volume,quote_volume,datetime_utc,venue,product_type,symbol
1767271440000,87975.94,87975.94,87971.03,87971.04,1.424643,125332.84740744,125332.84740744,2026-01-01 12:44:00+00:00,spot,SPOT,BTCUSDT
1767271500000,87971.04,87971.04,87971.03,87971.03,0.094254,8291.6218825,8291.6218825,2026-01-01 12:45:00+00:00,spot,SPOT,BTCUSDT
1767271560000,87971.03,87971.04,87971.03,87971.04,0.266311,23427.65392549,23427.65392549,2026-01-01 12:46:00+00:00,spot,SPOT,BTCUSDT
1767271620000,87971.04,87971.04,87971.03,87971.03,0.117905,10372.22493273,10372.22493273,2026-01-01 12:47:00+00:00,spot,SPOT,BTCUSDT
1767271680000,87971.03,87979.85,87971.03,87979.84,1.386681,121995.22672998,121995.22672998,2026-01-01 12:48:00+00:00,spot,SPOT,BTCUSDT
1767271740000,87979.84,87979.85,87979.84,87979.84,0.008769,771.49526255,771.49526255,2026-01-01 12:49:00+00:00,spot,SPOT,BTCUSDT
1767271800000,87979.84,87979.84,87975.56,87975.56,0.565581,49759.48470448,49759.48470448,2026-01-01 12:50:00+00:00,spot,SPOT,BTCUSDT
1767271860000,87975.56,87979.11,87975.56,87979.1,1.105088,97221.18655813,97221.18655813,2026-01-01 12:51:00+00:00,spot,SPOT,BTCUSDT
1767271920000,87979.1,87979.11,87979.1,87979.11,0.094507,8314.64131587,8314.64131587,2026-01-01 12:52:00+00:00,spot,SPOT,BTCUSDT
1767271980000,87979.11,87979.11,87979.1,87979.1,0.200387,17629.86883218,17629.86883218,2026-01-01 12:53:00+00:00,spot,SPOT,BTCUSDT
1767272040000,87979.1,87980.0,87979.1,87980.0,3.85319,339002.66447213,339002.66447213,2026-01-01 12:54:00+00:00,spot,SPOT,BTCUSDT
1767272100000,87980.0,87980.0,87973.97,87973.98,0.505971,44513.58728708,44513.58728708,2026-01-01 12:55:00+00:00,spot,SPOT,BTCUSDT
1767272160000,87973.98,87973.98,87973.97,87973.98,0.353744,31120.26582304,31120.26582304,2026-01-01 12:56:00+00:00,spot,SPOT,BTCUSDT
