,timestamp,open,high,low,close,datetime
6993,1772087640000000000,89.29,89.34,89.26,89.31,2026-02-26T06:34:00.000000Z
6994,1772087700000000000,89.31,89.41,89.26,89.38,2026-02-26T06:35:00.000000Z
6995,1772087760000000000,89.38,89.4,89.24,89.24,2026-02-26T06:36:00.000000Z
6996,1772087820000000000,89.24,89.38,89.23,89.35,2026-02-26T06:37:00.000000Z
6997,1772087880000000000,89.35,89.39,89.34,89.37,2026-02-26T06:38:00.000000Z
6998,1772087940000000000,89.37,89.48,89.37,89.48,2026-02-26T06:39:00.000000Z
6999,1772088000000000000,89.48,89.5,89.36,89.36,2026-02-26T06:40:00.000000Z
6600,1772088060000000000,89.36,89.47,89.36,89.42,2026-02-26T06:41:00.000000Z
6601,1772088120000000000,89.42,89.42,89.33,89.37,2026-02-26T06:42:00.000000Z
6602,1772088180000000000,89.37,89.43,89.36,89.42,2026-02-26T06:43:00.000000Z
6603,1772088240000000000,89.42,89.45,89.4,89.4,2026-02-26T06:44:00.000000Z
6604,1772088300000000000,89.4,89.49,89.4,89.42,2026-02-26T06:45:00.000000Z
6605,1772088360000000000,89.42,89.43,89.3,89.32,2026-02-26T06:46:00.000000Z
6606,1772088420000000000,89.32,89.36,89.26,89.26,2026-02-26T06:47:00.000000Z
6607,1772088480000000000,89.26,89.33,89.26,89.29,2026-02-26T06:48:00.000000Z
6608,1772088540000000000,89.29,89.29,89.03,89.03,2026-02-26T06:49:00.000000Z
6609,1772088600000000000,89.03,89.07,88.71,89.04,2026-02-26T06:50:00.000000Z
6610,1772088660000000000,89.04,89.07,89.0,89.02,2026-02-26T06:51:00.000000Z
6611,1772088720000000000,89.02,89.02,88.92,88.95,2026-02-26T06:52:00.000000Z
6612,1772088780000000000,88.95,88.95,88.91,88.94,2026-02-26T06:53:00.000000Z
6613,1772088840000000000,88.94,89.02,88.9,89.0,2026-02-26T06:54:00.000000Z
6614,1772088900000000000,89.0,89.13,89.0,89.13,2026-02-26T06:55:00.000000Z
